"country","lorenz_90","year"
"Australia",NA,1980
"Austria",NA,1980
"Belgium",NA,1980
"Czech Republic",NA,1980
"Denmark",NA,1980
"Finland",NA,1980
"France",NA,1980
"Germany",72.67,1980
"Ireland",NA,1980
"Italy",NA,1980
"South Korea",NA,1980
"Luxembourg",NA,1980
"Mexico",NA,1980
"Netherlands",NA,1980
"Norway",76.56,1980
"Poland",NA,1980
"Russia",NA,1980
"Slovakia",NA,1980
"Spain",NA,1980
"Switzerland",69.64,1980
"United Kingdom",75.18,1980
"United States",72.53,1980
"Australia",NA,1981
"Austria",NA,1981
"Belgium",NA,1981
"Czech Republic",NA,1981
"Denmark",NA,1981
"Finland",NA,1981
"France",NA,1981
"Germany",73.54,1981
"Ireland",NA,1981
"Italy",NA,1981
"South Korea",NA,1981
"Luxembourg",NA,1981
"Mexico",NA,1981
"Netherlands",71.77,1981
"Norway",76.56,1981
"Poland",NA,1981
"Russia",NA,1981
"Slovakia",NA,1981
"Spain",NA,1981
"Switzerland",69.64,1981
"United Kingdom",74.15,1981
"United States",72.06,1981
"Australia",NA,1982
"Austria",NA,1982
"Belgium",NA,1982
"Czech Republic",NA,1982
"Denmark",NA,1982
"Finland",NA,1982
"France",NA,1982
"Germany",73.54,1982
"Ireland",NA,1982
"Italy",NA,1982
"South Korea",NA,1982
"Luxembourg",NA,1982
"Mexico",NA,1982
"Netherlands",71.77,1982
"Norway",NA,1982
"Poland",NA,1982
"Russia",NA,1982
"Slovakia",NA,1982
"Spain",NA,1982
"Switzerland",69.64,1982
"United Kingdom",73.21,1982
"United States",71.14,1982
"Australia",NA,1983
"Austria",NA,1983
"Belgium",NA,1983
"Czech Republic",NA,1983
"Denmark",NA,1983
"Finland",NA,1983
"France",NA,1983
"Germany",73.54,1983
"Ireland",NA,1983
"Italy",NA,1983
"South Korea",NA,1983
"Luxembourg",NA,1983
"Mexico",NA,1983
"Netherlands",71.77,1983
"Norway",NA,1983
"Poland",NA,1983
"Russia",NA,1983
"Slovakia",NA,1983
"Spain",NA,1983
"Switzerland",69.64,1983
"United Kingdom",73.21,1983
"United States",70.96,1983
"Australia",NA,1984
"Austria",NA,1984
"Belgium",NA,1984
"Czech Republic",NA,1984
"Denmark",NA,1984
"Finland",NA,1984
"France",NA,1984
"Germany",73.25,1984
"Ireland",NA,1984
"Italy",NA,1984
"South Korea",NA,1984
"Luxembourg",NA,1984
"Mexico",NA,1984
"Netherlands",71.77,1984
"Norway",77.37,1984
"Poland",NA,1984
"Russia",NA,1984
"Slovakia",NA,1984
"Spain",NA,1984
"Switzerland",69.64,1984
"United Kingdom",73.6,1984
"United States",71.03,1984
"Australia",NA,1985
"Austria",NA,1985
"Belgium",NA,1985
"Czech Republic",NA,1985
"Denmark",NA,1985
"Finland",77.31,1985
"France",NA,1985
"Germany",73.25,1985
"Ireland",68.16,1985
"Italy",NA,1985
"South Korea",NA,1985
"Luxembourg",NA,1985
"Mexico",NA,1985
"Netherlands",72.25,1985
"Norway",77.37,1985
"Poland",NA,1985
"Russia",NA,1985
"Slovakia",NA,1985
"Spain",NA,1985
"Switzerland",NA,1985
"United Kingdom",72.63,1985
"United States",70.55,1985
"Australia",NA,1986
"Austria",NA,1986
"Belgium",NA,1986
"Czech Republic",NA,1986
"Denmark",NA,1986
"Finland",77.31,1986
"France",NA,1986
"Germany",73.99,1986
"Ireland",68.16,1986
"Italy",NA,1986
"South Korea",NA,1986
"Luxembourg",NA,1986
"Mexico",NA,1986
"Netherlands",72.25,1986
"Norway",77.37,1986
"Poland",NA,1986
"Russia",NA,1986
"Slovakia",NA,1986
"Spain",NA,1986
"Switzerland",NA,1986
"United Kingdom",70.02,1986
"United States",70.34,1986
"Australia",72.29,1987
"Austria",NA,1987
"Belgium",NA,1987
"Czech Republic",NA,1987
"Denmark",NA,1987
"Finland",77.31,1987
"France",NA,1987
"Germany",73.29,1987
"Ireland",68.16,1987
"Italy",NA,1987
"South Korea",NA,1987
"Luxembourg",NA,1987
"Mexico",NA,1987
"Netherlands",72.25,1987
"Norway",77.37,1987
"Poland",NA,1987
"Russia",NA,1987
"Slovakia",NA,1987
"Spain",NA,1987
"Switzerland",NA,1987
"United Kingdom",70.02,1987
"United States",70.44,1987
"Australia",72.29,1988
"Austria",NA,1988
"Belgium",NA,1988
"Czech Republic",NA,1988
"Denmark",NA,1988
"Finland",77.31,1988
"France",NA,1988
"Germany",72.75,1988
"Ireland",68.16,1988
"Italy",NA,1988
"South Korea",NA,1988
"Luxembourg",NA,1988
"Mexico",NA,1988
"Netherlands",72.25,1988
"Norway",77.37,1988
"Poland",NA,1988
"Russia",NA,1988
"Slovakia",NA,1988
"Spain",NA,1988
"Switzerland",NA,1988
"United Kingdom",70.4,1988
"United States",70.23,1988
"Australia",72.29,1989
"Austria",NA,1989
"Belgium",NA,1989
"Czech Republic",NA,1989
"Denmark",NA,1989
"Finland",77.19,1989
"France",NA,1989
"Germany",72.38,1989
"Ireland",68.16,1989
"Italy",NA,1989
"South Korea",NA,1989
"Luxembourg",NA,1989
"Mexico",NA,1989
"Netherlands",74.22,1989
"Norway",75.65,1989
"Poland",NA,1989
"Russia",NA,1989
"Slovakia",NA,1989
"Spain",NA,1989
"Switzerland",NA,1989
"United Kingdom",71.85,1989
"United States",69.55,1989
"Australia",72.29,1990
"Austria",NA,1990
"Belgium",73.69,1990
"Czech Republic",NA,1990
"Denmark",NA,1990
"Finland",77.19,1990
"France",NA,1990
"Germany",73.29,1990
"Ireland",NA,1990
"Italy",NA,1990
"South Korea",NA,1990
"Luxembourg",NA,1990
"Mexico",NA,1990
"Netherlands",74.22,1990
"Norway",75.65,1990
"Poland",NA,1990
"Russia",NA,1990
"Slovakia",NA,1990
"Spain",NA,1990
"Switzerland",72.23,1990
"United Kingdom",70.11,1990
"United States",69.84,1990
"Australia",72.29,1991
"Austria",NA,1991
"Belgium",73.69,1991
"Czech Republic",NA,1991
"Denmark",NA,1991
"Finland",77.19,1991
"France",NA,1991
"Germany",73.29,1991
"Ireland",NA,1991
"Italy",NA,1991
"South Korea",NA,1991
"Luxembourg",NA,1991
"Mexico",NA,1991
"Netherlands",74.22,1991
"Norway",75.65,1991
"Poland",NA,1991
"Russia",NA,1991
"Slovakia",NA,1991
"Spain",NA,1991
"Switzerland",72.23,1991
"United Kingdom",70.11,1991
"United States",69.84,1991
"Australia",72.29,1992
"Austria",NA,1992
"Belgium",73.69,1992
"Czech Republic",NA,1992
"Denmark",NA,1992
"Finland",77.19,1992
"France",NA,1992
"Germany",72.7,1992
"Ireland",NA,1992
"Italy",NA,1992
"South Korea",NA,1992
"Luxembourg",NA,1992
"Mexico",NA,1992
"Netherlands",74.22,1992
"Norway",75.65,1992
"Poland",NA,1992
"Russia",NA,1992
"Slovakia",NA,1992
"Spain",NA,1992
"Switzerland",72.23,1992
"United Kingdom",70.29,1992
"United States",69.98,1992
"Australia",NA,1993
"Austria",NA,1993
"Belgium",73.69,1993
"Czech Republic",NA,1993
"Denmark",NA,1993
"Finland",77.19,1993
"France",NA,1993
"Germany",72.76,1993
"Ireland",NA,1993
"Italy",NA,1993
"South Korea",NA,1993
"Luxembourg",NA,1993
"Mexico",NA,1993
"Netherlands",74.09,1993
"Norway",75.65,1993
"Poland",NA,1993
"Russia",NA,1993
"Slovakia",NA,1993
"Spain",NA,1993
"Switzerland",72.23,1993
"United Kingdom",69.96,1993
"United States",69.38,1993
"Australia",70.92,1994
"Austria",NA,1994
"Belgium",73.69,1994
"Czech Republic",NA,1994
"Denmark",74.15,1994
"Finland",74.44,1994
"France",NA,1994
"Germany",72.17,1994
"Ireland",NA,1994
"Italy",NA,1994
"South Korea",NA,1994
"Luxembourg",NA,1994
"Mexico",NA,1994
"Netherlands",74.09,1994
"Norway",74.36,1994
"Poland",NA,1994
"Russia",NA,1994
"Slovakia",NA,1994
"Spain",NA,1994
"Switzerland",72.23,1994
"United Kingdom",68.03,1994
"United States",66.8,1994
"Australia",70.92,1995
"Austria",NA,1995
"Belgium",NA,1995
"Czech Republic",NA,1995
"Denmark",74.15,1995
"Finland",74.44,1995
"France",NA,1995
"Germany",72,1995
"Ireland",NA,1995
"Italy",NA,1995
"South Korea",NA,1995
"Luxembourg",NA,1995
"Mexico",NA,1995
"Netherlands",74.09,1995
"Norway",74.36,1995
"Poland",NA,1995
"Russia",NA,1995
"Slovakia",NA,1995
"Spain",NA,1995
"Switzerland",NA,1995
"United Kingdom",68.13,1995
"United States",66.84,1995
"Australia",70.92,1996
"Austria",NA,1996
"Belgium",NA,1996
"Czech Republic",NA,1996
"Denmark",74.15,1996
"Finland",74.44,1996
"France",NA,1996
"Germany",71.92,1996
"Ireland",NA,1996
"Italy",NA,1996
"South Korea",NA,1996
"Luxembourg",NA,1996
"Mexico",NA,1996
"Netherlands",NA,1996
"Norway",74.36,1996
"Poland",NA,1996
"Russia",NA,1996
"Slovakia",NA,1996
"Spain",NA,1996
"Switzerland",NA,1996
"United Kingdom",68.49,1996
"United States",66.66,1996
"Australia",70.92,1997
"Austria",NA,1997
"Belgium",NA,1997
"Czech Republic",NA,1997
"Denmark",74.15,1997
"Finland",74.44,1997
"France",NA,1997
"Germany",71.83,1997
"Ireland",NA,1997
"Italy",NA,1997
"South Korea",NA,1997
"Luxembourg",NA,1997
"Mexico",NA,1997
"Netherlands",75.75,1997
"Norway",74.36,1997
"Poland",NA,1997
"Russia",NA,1997
"Slovakia",NA,1997
"Spain",NA,1997
"Switzerland",NA,1997
"United Kingdom",68.45,1997
"United States",66.32,1997
"Australia",NA,1998
"Austria",NA,1998
"Belgium",NA,1998
"Czech Republic",NA,1998
"Denmark",74.39,1998
"Finland",72.67,1998
"France",NA,1998
