"country","lorenz_75","year"
"Australia",NA,1980
"Austria",NA,1980
"Belgium",NA,1980
"Czech Republic",NA,1980
"Denmark",NA,1980
"Finland",NA,1980
"France",NA,1980
"Germany",49.5,1980
"Ireland",NA,1980
"Italy",NA,1980
"South Korea",NA,1980
"Luxembourg",NA,1980
"Mexico",NA,1980
"Netherlands",NA,1980
"Norway",53.44,1980
"Poland",NA,1980
"Russia",NA,1980
"Slovakia",NA,1980
"Spain",NA,1980
"Switzerland",49.03,1980
"United Kingdom",51.48,1980
"United States",48.01,1980
"Australia",NA,1981
"Austria",NA,1981
"Belgium",NA,1981
"Czech Republic",NA,1981
"Denmark",NA,1981
"Finland",NA,1981
"France",NA,1981
"Germany",49.76,1981
"Ireland",NA,1981
"Italy",NA,1981
"South Korea",NA,1981
"Luxembourg",NA,1981
"Mexico",NA,1981
"Netherlands",46.51,1981
"Norway",53.44,1981
"Poland",NA,1981
"Russia",NA,1981
"Slovakia",NA,1981
"Spain",NA,1981
"Switzerland",49.03,1981
"United Kingdom",49.87,1981
"United States",47.44,1981
"Australia",NA,1982
"Austria",NA,1982
"Belgium",NA,1982
"Czech Republic",NA,1982
"Denmark",NA,1982
"Finland",NA,1982
"France",NA,1982
"Germany",49.76,1982
"Ireland",NA,1982
"Italy",NA,1982
"South Korea",NA,1982
"Luxembourg",NA,1982
"Mexico",NA,1982
"Netherlands",46.51,1982
"Norway",NA,1982
"Poland",NA,1982
"Russia",NA,1982
"Slovakia",NA,1982
"Spain",NA,1982
"Switzerland",49.03,1982
"United Kingdom",48.3,1982
"United States",46.32,1982
"Australia",NA,1983
"Austria",NA,1983
"Belgium",NA,1983
"Czech Republic",NA,1983
"Denmark",NA,1983
"Finland",NA,1983
"France",NA,1983
"Germany",49.76,1983
"Ireland",NA,1983
"Italy",NA,1983
"South Korea",NA,1983
"Luxembourg",NA,1983
"Mexico",NA,1983
"Netherlands",46.51,1983
"Norway",NA,1983
"Poland",NA,1983
"Russia",NA,1983
"Slovakia",NA,1983
"Spain",NA,1983
"Switzerland",49.03,1983
"United Kingdom",48.31,1983
"United States",45.96,1983
"Australia",NA,1984
"Austria",NA,1984
"Belgium",NA,1984
"Czech Republic",NA,1984
"Denmark",NA,1984
"Finland",NA,1984
"France",NA,1984
"Germany",48.7,1984
"Ireland",NA,1984
"Italy",NA,1984
"South Korea",NA,1984
"Luxembourg",NA,1984
"Mexico",NA,1984
"Netherlands",46.51,1984
"Norway",54.2,1984
"Poland",NA,1984
"Russia",NA,1984
"Slovakia",NA,1984
"Spain",NA,1984
"Switzerland",49.03,1984
"United Kingdom",48.52,1984
"United States",46.28,1984
"Australia",NA,1985
"Austria",NA,1985
"Belgium",NA,1985
"Czech Republic",NA,1985
"Denmark",NA,1985
"Finland",55.17,1985
"France",NA,1985
"Germany",48.7,1985
"Ireland",41.82,1985
"Italy",NA,1985
"South Korea",NA,1985
"Luxembourg",NA,1985
"Mexico",NA,1985
"Netherlands",47.44,1985
"Norway",54.2,1985
"Poland",NA,1985
"Russia",NA,1985
"Slovakia",NA,1985
"Spain",NA,1985
"Switzerland",NA,1985
"United Kingdom",47.49,1985
"United States",45.95,1985
"Australia",NA,1986
"Austria",NA,1986
"Belgium",NA,1986
"Czech Republic",NA,1986
"Denmark",NA,1986
"Finland",55.17,1986
"France",NA,1986
"Germany",49.42,1986
"Ireland",41.82,1986
"Italy",NA,1986
"South Korea",NA,1986
"Luxembourg",NA,1986
"Mexico",NA,1986
"Netherlands",47.44,1986
"Norway",54.2,1986
"Poland",NA,1986
"Russia",NA,1986
"Slovakia",NA,1986
"Spain",NA,1986
"Switzerland",NA,1986
"United Kingdom",45.12,1986
"United States",45.71,1986
"Australia",47.93,1987
"Austria",NA,1987
"Belgium",NA,1987
"Czech Republic",NA,1987
"Denmark",NA,1987
"Finland",55.17,1987
"France",NA,1987
"Germany",48.75,1987
"Ireland",41.82,1987
"Italy",NA,1987
"South Korea",NA,1987
"Luxembourg",NA,1987
"Mexico",NA,1987
"Netherlands",47.44,1987
"Norway",54.2,1987
"Poland",NA,1987
"Russia",NA,1987
"Slovakia",NA,1987
"Spain",NA,1987
"Switzerland",NA,1987
"United Kingdom",45.12,1987
"United States",45.95,1987
"Australia",47.93,1988
"Austria",NA,1988
"Belgium",NA,1988
"Czech Republic",NA,1988
"Denmark",NA,1988
"Finland",55.17,1988
"France",NA,1988
"Germany",48.5,1988
"Ireland",41.82,1988
"Italy",NA,1988
"South Korea",NA,1988
"Luxembourg",NA,1988
"Mexico",NA,1988
"Netherlands",47.44,1988
"Norway",54.2,1988
"Poland",NA,1988
"Russia",NA,1988
"Slovakia",NA,1988
"Spain",NA,1988
"Switzerland",NA,1988
"United Kingdom",45.82,1988
"United States",45.8,1988
"Australia",47.93,1989
"Austria",NA,1989
"Belgium",NA,1989
"Czech Republic",NA,1989
"Denmark",NA,1989
"Finland",54.88,1989
"France",NA,1989
"Germany",48.33,1989
"Ireland",41.82,1989
"Italy",NA,1989
"South Korea",NA,1989
"Luxembourg",NA,1989
"Mexico",NA,1989
"Netherlands",49.95,1989
"Norway",52.53,1989
"Poland",NA,1989
"Russia",NA,1989
"Slovakia",NA,1989
"Spain",NA,1989
"Switzerland",NA,1989
"United Kingdom",46.92,1989
"United States",45.39,1989
"Australia",47.93,1990
"Austria",NA,1990
"Belgium",47.38,1990
"Czech Republic",NA,1990
"Denmark",NA,1990
"Finland",54.88,1990
"France",NA,1990
"Germany",48.87,1990
"Ireland",NA,1990
"Italy",NA,1990
"South Korea",NA,1990
"Luxembourg",NA,1990
"Mexico",NA,1990
"Netherlands",49.95,1990
"Norway",52.53,1990
"Poland",NA,1990
"Russia",NA,1990
"Slovakia",NA,1990
"Spain",NA,1990
"Switzerland",50.34,1990
"United Kingdom",45.39,1990
"United States",45.45,1990
"Australia",47.93,1991
"Austria",NA,1991
"Belgium",47.38,1991
"Czech Republic",NA,1991
"Denmark",NA,1991
"Finland",54.88,1991
"France",NA,1991
"Germany",48.87,1991
"Ireland",NA,1991
"Italy",NA,1991
"South Korea",NA,1991
"Luxembourg",NA,1991
"Mexico",NA,1991
"Netherlands",49.95,1991
"Norway",52.53,1991
"Poland",NA,1991
"Russia",NA,1991
"Slovakia",NA,1991
"Spain",NA,1991
"Switzerland",50.34,1991
"United Kingdom",45.39,1991
"United States",45.45,1991
"Australia",47.93,1992
"Austria",NA,1992
"Belgium",47.38,1992
"Czech Republic",NA,1992
"Denmark",NA,1992
"Finland",54.88,1992
"France",NA,1992
"Germany",47.56,1992
"Ireland",NA,1992
"Italy",NA,1992
"South Korea",NA,1992
"Luxembourg",NA,1992
"Mexico",NA,1992
"Netherlands",49.95,1992
"Norway",52.53,1992
"Poland",NA,1992
"Russia",NA,1992
"Slovakia",NA,1992
"Spain",NA,1992
"Switzerland",50.34,1992
"United Kingdom",45.19,1992
"United States",45.35,1992
"Australia",NA,1993
"Austria",NA,1993
"Belgium",47.38,1993
"Czech Republic",NA,1993
"Denmark",NA,1993
"Finland",54.88,1993
"France",NA,1993
"Germany",47.72,1993
"Ireland",NA,1993
"Italy",NA,1993
"South Korea",NA,1993
"Luxembourg",NA,1993
"Mexico",NA,1993
"Netherlands",49.31,1993
"Norway",52.53,1993
"Poland",NA,1993
"Russia",NA,1993
"Slovakia",NA,1993
"Spain",NA,1993
"Switzerland",50.34,1993
"United Kingdom",44.36,1993
"United States",44.74,1993
"Australia",45.55,1994
"Austria",NA,1994
"Belgium",47.38,1994
"Czech Republic",NA,1994
"Denmark",49.65,1994
"Finland",50.85,1994
"France",NA,1994
"Germany",46.99,1994
"Ireland",NA,1994
"Italy",NA,1994
"South Korea",NA,1994
"Luxembourg",NA,1994
"Mexico",NA,1994
"Netherlands",49.31,1994
"Norway",50.84,1994
"Poland",NA,1994
"Russia",NA,1994
"Slovakia",NA,1994
"Spain",NA,1994
"Switzerland",50.34,1994
"United Kingdom",42.11,1994
"United States",42.76,1994
"Australia",45.55,1995
"Austria",NA,1995
"Belgium",NA,1995
"Czech Republic",NA,1995
"Denmark",49.65,1995
"Finland",50.85,1995
"France",NA,1995
"Germany",46.76,1995
"Ireland",NA,1995
"Italy",NA,1995
"South Korea",NA,1995
"Luxembourg",NA,1995
"Mexico",NA,1995
"Netherlands",49.31,1995
"Norway",50.84,1995
"Poland",NA,1995
"Russia",NA,1995
"Slovakia",NA,1995
"Spain",NA,1995
"Switzerland",NA,1995
"United Kingdom",42.09,1995
"United States",42.99,1995
"Australia",45.55,1996
"Austria",NA,1996
"Belgium",NA,1996
"Czech Republic",NA,1996
"Denmark",49.65,1996
"Finland",50.85,1996
"France",NA,1996
"Germany",46.5,1996
"Ireland",NA,1996
"Italy",NA,1996
"South Korea",NA,1996
"Luxembourg",NA,1996
"Mexico",NA,1996
"Netherlands",NA,1996
"Norway",50.84,1996
"Poland",NA,1996
"Russia",NA,1996
"Slovakia",NA,1996
"Spain",NA,1996
"Switzerland",NA,1996
"United Kingdom",42.89,1996
"United States",42.85,1996
"Australia",45.55,1997
"Austria",NA,1997
"Belgium",NA,1997
"Czech Republic",NA,1997
"Denmark",49.65,1997
"Finland",50.85,1997
"France",NA,1997
"Germany",46.19,1997
"Ireland",NA,1997
"Italy",NA,1997
"South Korea",NA,1997
"Luxembourg",NA,1997
"Mexico",NA,1997
"Netherlands",52.38,1997
"Norway",50.84,1997
"Poland",NA,1997
"Russia",NA,1997
"Slovakia",NA,1997
"Spain",NA,1997
"Switzerland",NA,1997
"United Kingdom",43.2,1997
"United States",42.62,1997
"Australia",NA,1998
"Austria",NA,1998
"Belgium",NA,1998
"Czech Republic",NA,1998
"Denmark",50.37,1998
"Finland",49.53,1998
"France",NA,1998
